country,GMID,"Unified Price
EUR ","Target Resell price
EUR","Tender Price
EUR ","Supply Price
EUR",promotion
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.85,2.166,2.7075,
,628074,1.42,1.52,1.1552,1.444,
,554510,7.4,7.97,6.0572,7.5715,
,323487,2.28,2.4,1.824,2.28,
,298682,1.3,1.37,1.0412,1.3015,
,320343,2.91,3.06,2.3256,2.907,
,320344,5.2,5.38,4.0888,5.111,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,681573,6.5,7.45,5.662,7.0775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,5.6525,5.6525,
,681805,5.83,5.95,5.6525,5.6525,
,625765,3.66,3.89,3.3535,3.6955,
,735804,3.66,3.89,3.3535,3.6955,
,625767,3.4,3.6,3.1065,3.42,
,240939,5.04,5.31,4.0356,5.0445,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,626499,0.82,0.86,0.6536,0.817,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,0.99,0.7524,0.9405,
,626630,1,1.28,1.1552,1.216,
,627330,0.83,0.86,0.6536,0.817,
,624479,0.89,0.91,0.7781,0.8645,
,626998,1.25,1.3,0.988,1.235,
,627160,1.8,1.95,1.482,1.8525,
,618677,2.42,2.54,1.9304,2.413,
,664051,2.37,3.18,2.4168,3.021,
,67933,53.93,57.17,,54.3115,
,678014,1.73,1.8,1.539,1.71,
,642941,1.75,1.84,1.3984,1.748,
,476956,4.32,4.55,3.458,4.3225,
,476963,6.5,6.25,4.75,5.9375,
,476955,1.76,1.85,1.406,1.7575,
,476957,2.85,3,2.28,2.85,
,625674,1.12,1.22,1.0431,1.159,
,646872,5.28,6.5,5.8663,6.175,
,285368,2.74,2.87,2.1812,2.7265,
,698115,0.81,0.85,0.646,0.8075,
,405018,3.03,3.7,,3.515,
,625681,2.32,3.51,2.6676,3.3345,
,311168,1.9,1.99,1.5124,1.8905,
,311166,1.19,1.24,0.9424,1.178,
,293665,2.51,2.55,,2.4225,
,657471,4.24,4.47,4.0172,4.2465,
,657473,6.11,6.28,4.7728,5.966,
,657474,8.12,8.34,6.3384,7.923,
,657477,9.34,9.6,7.296,9.12,
,292174,2.31,2.5,,2.375,
,239907,1.31,1.61,,1.5295,
,647515,1.31,1.61,,1.5295,
,436433,1.49,1.57,1.1932,1.4915,
,642586,1.49,1.57,1.1932,1.4915,
,214082,1.89,2.34,2.0007,2.223,
,645863,1.81,1.85,1.406,1.7575,
,647301,2.54,2.61,1.9836,2.4795,
,476712,1.9,2,1.52,1.9,
,289137,4.49,4.93,3.7468,4.6835,
,508116,4.49,4.93,3.7468,4.6835,
,289138,1.02,1.07,0.8132,1.0165,
,287550,1.25,1.3,0.988,1.235,
,287553,2.46,2.6,1.976,2.47,
,609071,1.24,1.31,0.9956,1.2445,
,671597,1.55,1.67,1.2692,1.5865,
,558545,4.65,8.01,6.0876,7.6095,
,311122,2.29,2.59,1.9684,2.4605,
,632425,4.53,4.95,3.762,4.7025,
,698117,3.09,3.5,2.66,3.325,
,298689,6.18,6.49,4.9324,6.1655,
,298691,7.4,7.53,5.7228,7.1535,
,298693,4.41,4.31,3.2756,4.0945,
,695816,3.34,3.48,2.6448,3.306,
,639164,1.85,1.91,1.4516,1.8145,
,540717,1.35,1.44,1.0944,1.368,
,172136,33.55,35.37,31.9215,33.6015,
,671609,2.61,2.7,2.052,2.565,
,639608,1.51,1.57,1.1932,1.4915,
,571696,13,13.57,10.3132,12.8915,
,187750,2.67,2.81,2.1356,2.6695,
,187747,4.11,4.41,3.3516,4.1895,
,479387,1.44,1.52,1.1552,1.444,
,660728,1.44,1.52,1.1552,1.444,
,479530,1.63,1.67,1.2692,1.5865,
,660727,1.63,1.67,1.2692,1.5865,
,323473,1.23,1.2,0.912,1.14,
,355560,3.14,3.25,2.47,3.0875,
,624775,3.52,3.7,,3.515,
,624774,3.48,3.66,,3.477,
,298698,6.52,6.86,5.2136,6.517,
,636827,2.61,2.44,1.8544,2.318,
,298711,3.26,3.43,2.6068,3.2585,
,310637,8.78,10,7.6,9.5,
,413689,45.8,70,53.2,66.5,
,414074,106.4,200,152,190,
,671637,2.97,3.16,2.4016,3.002,
,671639,6.17,6.49,4.9324,6.1655,
,269069,1.82,1.97,1.4972,1.8715,
,666130,1.82,1.97,1.4972,1.8715,
,489540,1.54,1.62,1.2312,1.539,
,489541,0.93,0.98,0.7448,0.931,
,666655,13.3,14,10.64,13.3,
,679231,6.65,7,5.32,6.65,
,666654,8.08,8.5,6.46,8.075,
,666653,11.64,12.25,9.31,11.6375,
,627667,6.18,6.5,4.94,6.175,
,627060,6.65,7,5.32,6.65,
,627061,3.81,4,3.8,3.8,
,627062,5.72,6,5.7,5.7,
,646799,5.38,5.7,,5.415,
,612011,17.79,18.63,14.1588,17.6985,
,633072,18.42,18.38,13.9688,17.461,
,476947,0.46,0.5,0.38,0.475,
,695822,6.7,7.1,5.396,6.745,
,477825,2.31,2.21,1.6796,2.0995,
,660724,2.31,2.21,1.6796,2.0995,
,624773,5.45,5.74,4.3624,5.453,
,662889,3.91,4.12,3.1312,3.914,
,650737,0.82,0.86,0.6536,0.817,
,663983,0.82,0.86,0.6536,0.817,
,663984,1.88,1.94,1.4744,1.843,
,663985,1.53,1.68,1.2768,1.596,
,663986,1.15,1.26,0.9576,1.197,
,663987,0.7,0.77,0.5852,0.7315,
,663981,0.86,1.11,,1.0545,
,663996,15.93,17.51,,16.6345,
,663998,2.43,2.63,1.9988,2.4985,
,639628,6.01,6.31,4.7956,5.9945,
,671212,1.53,1.68,1.2768,1.596,
,635403,2.68,3.02,2.869,2.869,
,268012,2.91,3.06,2.3256,2.907,
,268013,4.36,4.59,3.4884,4.3605,
,268014,5.7,6,4.56,5.7,
,268015,9.2,9.7,7.372,9.215,
,196680,12.75,13.67,10.3892,12.9865,
,196681,13.52,14.4,11.2973,13.68,
,281498,1.02,1.04,0.7904,0.988,
,298801,1.96,2.03,,1.9285,
,281499,1.07,1.35,1.026,1.2825,
,281500,1.31,1.66,1.2616,1.577,
,354883,0.94,1,0.8075,0.95,
,636858,2.87,3,2.28,2.85,
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.85,2.166,2.7075,
,247831,12.88,13.87,10.5412,13.1765,
,247832,14.05,14.4,12.9235,13.68,
,628074,1.42,1.52,1.1552,1.444,
,554523,7.4,7.97,6.0572,7.5715,
,323487,2.28,2.4,1.824,2.28,
,298682,1.3,1.37,1.0412,1.3015,
,320343,2.91,3.06,2.3256,2.907,
,320344,5.2,5.38,4.0888,5.111,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,681573,6.5,7.45,5.662,7.0775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,5.6525,5.6525,
,681805,5.83,5.95,5.6525,5.6525,
,625765,3.66,3.89,3.3535,3.6955,
,735804,3.66,3.89,3.3535,3.6955,
,625767,3.4,3.6,3.1065,3.42,
,240939,5.04,5.31,4.0356,5.0445,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,0.9,,0.855,
,626630,1,1.05,0.9477,0.9975,
,627330,0.83,0.86,0.6536,0.817,
,686669,0.89,0.91,0.7781,0.8645,
,624479,0.89,0.91,0.7781,0.8645,
,627160,1.8,1.95,1.482,1.8525,
,541078,3.56,3.73,2.8348,3.5435,
,224938,2.57,2.7,2.052,2.565,
,664051,2.37,3.18,2.4168,3.021,
,67933,53.93,57.17,,54.3115,
,678014,1.73,1.8,1.539,1.71,
,642941,1.75,1.84,1.3984,1.748,
,646872,5.28,6.5,5.8663,6.175,
,285368,2.74,2.87,2.1812,2.7265,
,241634,34.3,36.68,32.4045,34.846,
,684820,34.85,36.68,34.846,34.846,
,625681,2.32,3.51,2.6676,3.3345,
,311168,1.9,1.99,1.5124,1.8905,
,311166,1.19,1.24,0.9424,1.178,
,293665,2.51,2.55,,2.4225,
,657473,6.11,6.28,4.7728,5.966,
,291024,3.78,6.15,5.2583,5.8425,
,239907,1.31,1.61,,1.5295,
,647515,1.31,1.61,,1.5295,
,436433,1.49,1.57,1.1932,1.4915,
,642586,1.49,1.57,1.1932,1.4915,
,214082,1.89,2.34,2.0007,2.223,
,645863,1.81,1.85,1.406,1.7575,
,647301,2.54,2.61,1.9836,2.4795,
,289137,4.49,4.3,,4.085,
,508116,4.49,4.3,,4.085,
,289138,1.02,1.07,0.8132,1.0165,
,287552,4.76,4.93,3.7468,4.6835,
,287550,1.25,1.3,0.988,1.235,
,609071,1.24,1.31,0.9956,1.2445,
,671597,1.55,1.67,1.2692,1.5865,
,558545,4.65,8.01,6.0876,7.6095,
,311122,2.29,2.59,1.9684,2.4605,
,632425,4.53,4.95,3.762,4.7025,
,298689,6.18,6.49,4.9324,6.1655,
,298691,7.4,7.53,5.7228,7.1535,
,298693,4.41,4.31,3.2756,4.0945,
,695822,6.7,7.1,5.396,6.745,
,695820,6.87,7.08,5.3808,6.726,
,695816,3.34,3.48,2.6448,3.306,
,639164,1.85,1.91,1.4516,1.8145,
,540717,1.35,1.44,1.0944,1.368,
,172136,33.55,35.37,31.9215,33.6015,
,671609,2.61,2.7,2.052,2.565,
,639608,1.51,1.57,1.1932,1.4915,
,571696,13,13.57,10.3132,12.8915,
,187750,2.67,2.81,2.1356,2.6695,
,187747,4.11,4.41,3.3516,4.1895,
,479387,1.44,1.52,1.1552,1.444,
,660728,1.44,1.52,1.1552,1.444,
,479530,1.63,1.67,1.2692,1.5865,
,660727,1.63,1.67,1.2692,1.5865,
,323473,1.23,1.98,1.5048,1.881,
,355560,3.14,3.25,2.47,3.0875,
,624775,3.52,3.7,,3.515,
,624774,3.48,3.66,,3.477,
,298698,6.52,6.86,5.2136,6.517,
,636825,2.32,2.42,1.8392,2.299,
,636827,2.61,3.51,2.6676,3.3345,
,298711,3.26,3.43,2.6068,3.2585,
,671637,2.97,3.16,2.4016,3.002,
,671639,6.17,6.49,4.9324,6.1655,
,269069,1.82,1.97,1.4972,1.8715,
,666130,1.82,1.97,1.4972,1.8715,
,489540,1.54,1.62,1.2312,1.539,
,489541,0.93,0.98,0.7448,0.931,
,666655,13.3,14,10.64,13.3,
,679231,6.65,7,5.32,6.65,
,666654,8.08,8.5,6.46,8.075,
,666653,11.64,12.25,9.31,11.6375,
,646799,5.38,5.7,,5.415,
,612011,17.79,18.63,14.1588,17.6985,
,633072,18.42,18.38,13.9688,17.461,
,624773,5.45,5.74,4.3624,5.453,
,662889,3.91,4.12,3.1312,3.914,
,663983,0.82,0.86,0.6536,0.817,
,663984,1.88,1.94,1.4744,1.843,
,671212,1.53,1.68,1.2768,1.596,
,663986,1.15,1.26,0.9576,1.197,
,663987,0.7,0.77,0.5852,0.7315,
,663996,15.93,17.51,,16.6345,
,663998,2.43,2.63,1.9988,2.4985,
,635403,2.68,3.02,2.869,2.869,
,268012,2.91,3.06,2.3256,2.907,
,268013,4.36,4.59,3.4884,4.3605,
,268014,5.7,6,4.56,5.7,
,268015,9.2,9.7,7.372,9.215,
,307013,5.22,5.9,4.484,5.605,
,321233,4.77,4.94,,4.693,
,475871,0.95,1,0.76,0.95,
,475875,19.16,20,19,19,
,539185,13.29,14.5,11.02,13.775,
,539183,12.94,14,10.64,13.3,
,539181,14.94,16,12.16,15.2,
,539182,14.03,15,11.4,14.25,
,196680,12.75,13.67,10.3892,12.9865,
,196681,13.52,14.4,11.2973,13.68,
,281498,1.02,1.04,0.7904,0.988,
,298801,1.96,2.03,,1.9285,
,281499,1.07,1.11,0.8436,1.0545,
,281500,1.31,1.37,1.0412,1.3015,
,354883,0.94,1,0.8075,0.95,
,679090,1.37,1.5,1.14,1.425,
,636858,2.87,3,2.28,2.85,
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.86,2.1736,2.717,
,247831,12.88,13.87,10.5412,13.1765,
,247832,14.05,14.4,12.9235,13.68,
,628074,1.42,1.52,1.1552,1.444,
,554510,7.4,7.97,6.0572,7.5715,
,323487,2.28,2.4,1.824,2.28,
,298682,1.3,1.37,1.0412,1.3015,
,320343,2.91,3.06,2.3256,2.907,
,320344,5.2,5.38,4.0888,5.111,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,681573,6.5,7.45,5.662,7.0775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,5.6525,5.6525,
,681805,5.83,5.95,5.6525,5.6525,
,625765,3.66,3.89,3.3535,3.6955,
,735804,3.66,3.89,3.3535,3.6955,
,625767,3.4,3.6,3.1065,3.42,
,240939,5.04,5.31,4.0356,5.0445,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,0.9,,0.855,
,626630,1,1.05,0.9477,0.9975,
,627330,0.83,0.86,0.6536,0.817,
,686669,0.89,0.91,0.7781,0.8645,
,624479,0.89,0.91,0.7781,0.8645,
,626998,1.25,1.3,0.988,1.235,
,627160,1.8,1.95,1.482,1.8525,
,618677,2.42,2.54,1.9304,2.413,
,671538,2.27,2.43,1.8468,2.3085,
,541078,3.56,3.73,2.8348,3.5435,
,224938,2.57,2.7,2.052,2.565,
,664051,2.37,3.18,2.4168,3.021,
,67933,53.93,57.17,,54.3115,
,642941,1.75,1.84,1.3984,1.748,
,678014,1.73,1.8,1.539,1.71,
,476956,4.32,4.55,3.458,4.3225,
,476963,6.5,6.25,4.75,5.9375,
,476955,1.76,1.85,1.406,1.7575,
,476957,2.85,3,2.28,2.85,
,476954,2.85,3,2.28,2.85,
,625674,1.12,1.22,1.0431,1.159,
,646872,5.28,6.5,5.8663,6.175,
,285368,2.74,2.87,2.1812,2.7265,
,698115,0.81,0.85,0.646,0.8075,
,405018,3.03,3.7,,3.515,
,684820,34.85,36.68,34.846,34.846,
,625681,2.32,3.51,2.6676,3.3345,
,311168,1.9,1.99,1.5124,1.8905,
,311166,1.19,1.24,0.9424,1.178,
,293665,2.51,2.55,,2.4225,
,657471,4.24,4.47,4.0172,4.2465,
,657473,6.11,6.28,4.7728,5.966,
,657474,8.12,8.34,6.3384,7.923,
,657477,9.34,9.6,7.296,9.12,
,291024,3.78,6.15,5.2583,5.8425,
,239907,1.31,1.33,,1.2635,
,436433,1.49,1.57,1.1932,1.4915,
,642586,1.49,1.57,1.1932,1.4915,
,214082,1.89,2.34,2.0007,2.223,
,645863,1.81,1.85,1.406,1.7575,
,647301,2.54,2.61,1.9836,2.4795,
,476712,1.9,2,1.52,1.9,
,289137,4.49,4.93,3.7468,4.6835,
,508116,4.49,4.93,3.7468,4.6835,
,289138,1.02,1.07,0.8132,1.0165,
,287552,4.76,4.93,3.7468,4.6835,
,287550,1.25,1.3,0.988,1.235,
,287553,2.46,2.6,1.976,2.47,
,609071,1.24,1.31,0.9956,1.2445,
,671597,1.55,1.67,1.2692,1.5865,
,558545,4.65,8.01,6.0876,7.6095,
,311122,2.29,2.59,1.9684,2.4605,
,632425,4.53,4.95,3.762,4.7025,
,698117,3.09,3.5,2.66,3.325,
,298689,6.18,6.49,4.9324,6.1655,
,374872,7.1,7.5,5.7,7.125,
,298691,7.4,7.53,5.7228,7.1535,
,298693,4.41,4.31,3.2756,4.0945,
,695822,6.7,7.1,5.396,6.745,
,695820,6.87,7.08,5.3808,6.726,
,695816,3.34,3.48,2.6448,3.306,
,476714,0.55,0.6,0.456,0.57,
,639164,1.85,1.91,1.4516,1.8145,
,671609,2.61,2.7,2.052,2.565,
,540717,1.35,1.44,1.0944,1.368,
,172136,33.55,35.37,31.9215,33.6015,
,639608,1.51,1.57,1.1932,1.4915,
,571696,13,13.57,10.3132,12.8915,
,187750,2.67,2.81,2.1356,2.6695,
,187747,4.11,4.41,3.3516,4.1895,
,477825,2.31,2.61,1.9836,2.4795,
,660724,2.31,2.61,1.9836,2.4795,
,479387,1.44,1.52,1.1552,1.444,
,660728,1.44,1.52,1.1552,1.444,
,479530,1.63,1.67,1.2692,1.5865,
,660727,1.63,1.67,1.2692,1.5865,
,323470,2.6,2.74,2.0824,2.603,
,323473,1.23,1.2,0.912,1.14,
,541862,1.38,1.45,,1.3775,
,355560,3.14,3.25,2.47,3.0875,
,624775,3.52,3.7,,3.515,
,624774,3.48,3.66,,3.477,
,298698,6.52,6.86,5.2136,6.517,
,636827,2.61,2.44,1.8544,2.318,
,298711,3.26,3.43,2.6068,3.2585,
,694156,12.24,15,11.4,14.25,
,310637,8.78,10,7.6,9.5,
,413689,45.8,70,53.2,66.5,
,414074,106.4,200,152,190,
,671637,2.97,3.16,2.4016,3.002,
,671639,6.17,6.49,4.9324,6.1655,
,269069,1.82,1.97,1.4972,1.8715,
,666130,1.82,1.97,1.4972,1.8715,
,489540,1.54,1.62,1.2312,1.539,
,489541,0.93,0.98,0.7448,0.931,
,666655,13.3,14,10.64,13.3,
,679231,6.65,7,5.32,6.65,
,666654,8.08,8.5,6.46,8.075,
,666653,11.64,12.25,9.31,11.6375,
,627667,6.18,6.5,4.94,6.175,
,627060,6.65,7,5.32,6.65,
,627062,5.72,6,5.7,5.7,
,627061,3.81,4,3.8,3.8,
,646799,5.38,5.7,,5.415,
,612011,17.79,18.63,14.1588,17.6985,
,633072,18.42,18.38,13.9688,17.461,
,476947,0.46,0.5,0.38,0.475,
,624773,5.45,5.74,4.3624,5.453,
,662889,3.91,4.12,3.1312,3.914,
,650737,0.82,0.86,0.6536,0.817,
,663983,0.82,0.86,0.6536,0.817,
,663984,1.88,1.94,1.4744,1.843,
,663985,1.53,1.68,1.2768,1.596,
,663986,1.15,1.26,0.9576,1.197,
,663987,0.7,0.77,0.5852,0.7315,
,663981,0.86,0.91,,0.8645,
,663996,15.93,17.51,,16.6345,
,663998,2.43,2.63,1.9988,2.4985,
,663992,2.02,1.96,,1.862,
,639628,6.01,6.31,4.7956,5.9945,
,671212,1.53,1.68,1.2768,1.596,
,635403,2.68,3.02,2.869,2.869,
,268012,2.91,3.06,2.3256,2.907,
,268013,4.36,4.59,3.4884,4.3605,
,268014,5.7,6,4.56,5.7,
,268015,9.2,9.7,7.372,9.215,
,307013,5.22,5.9,4.484,5.605,
,321233,4.77,4.94,,4.693,
,539183,12.94,14,10.64,13.3,
,539181,14.94,16,12.16,15.2,
,539182,14.03,15,11.4,14.25,
,196680,12.75,13.67,10.3892,12.9865,
,196681,13.52,14.4,11.2973,13.68,
,281498,1.02,1.26,0.9576,1.197,
,298801,1.96,2.24,1.8088,2.128,
,281499,1.07,1.35,1.026,1.2825,
,281500,1.31,1.66,1.2616,1.577,
,698116,1.01,1.05,0.798,0.9975,
,679090,1.37,1.5,1.14,1.425,
,636858,2.87,3,2.28,2.85,
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.85,2.166,2.7075,
,247831,12.88,13.87,10.5412,13.1765,
,515056,12.88,13.87,10.5412,13.1765,
,247832,14.05,14.4,12.9235,13.68,
,514930,14.05,14.4,12.9235,13.68,
,554510,7.4,7.97,6.0572,7.5715,
,320343,2.91,3.06,2.3256,2.907,
,320344,5.2,5.38,4.0888,5.111,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,5.6525,5.6525,
,681805,5.83,5.95,5.6525,5.6525,
,625765,3.66,3.89,3.3535,3.6955,
,735804,3.66,3.89,3.3535,3.6955,
,625767,3.4,3.6,3.1065,3.42,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,1.09,0.8284,1.0355,
,686669,0.89,1.22,0.8037,1.159,
,624479,0.89,1.22,0.8037,1.159,
,626630,1,1.28,1.1552,1.216,
,627330,0.83,0.86,0.6536,0.817,
,626998,1.25,1.3,0.988,1.235,
,618677,2.42,2.54,1.9304,2.413,
,671538,2.27,2.43,1.8468,2.3085,
,541078,3.56,3.73,2.8348,3.5435,
,664051,2.37,3.18,2.4168,3.021,
,67933,53.93,57.17,,54.3115,
,642941,1.75,1.84,1.3984,1.748,
,476956,4.32,4.55,3.458,4.3225,
,476963,6.5,6.25,4.75,5.9375,
,476955,1.76,1.85,1.406,1.7575,
,476957,2.85,3,2.28,2.85,
,476954,2.85,3,2.28,2.85,
,646872,5.28,6.5,5.8663,6.175,
,698115,0.81,0.85,0.646,0.8075,
,684820,34.85,36.68,34.846,34.846,
,311168,1.9,1.99,1.5124,1.8905,
,657471,4.24,4.47,4.0172,4.2465,
,657473,6.11,6.28,4.7728,5.966,
,657474,8.12,8.34,6.3384,7.923,
,657477,9.34,9.6,7.296,9.12,
,292174,2.31,2.5,1.9,2.375,
,436433,1.49,1.57,1.1932,1.4915,
,642586,1.49,1.57,1.1932,1.4915,
,645863,1.81,1.85,1.406,1.7575,
,647301,2.54,2.61,1.9836,2.4795,
,476712,1.9,2,1.52,1.9,
,289138,1.02,1.07,0.8132,1.0165,
,287552,4.76,4.93,3.7468,4.6835,
,287550,1.25,1.3,0.988,1.235,
,287553,2.46,2.6,1.976,2.47,
,609071,1.24,1.31,0.9956,1.2445,
,671597,1.55,1.67,1.2692,1.5865,
,632425,4.53,4.95,3.762,4.7025,
,298689,6.18,6.49,4.9324,6.1655,
,374872,7.1,7.5,5.7,7.125,
,298691,7.4,7.53,5.7228,7.1535,
,298693,4.41,4.31,3.2756,4.0945,
,695820,6.87,7.08,5.3808,6.726,
,695816,3.34,3.48,2.6448,3.306,
,476714,0.55,0.6,0.456,0.57,
,639164,1.85,1.91,1.4516,1.8145,
,172136,33.55,35.37,31.9215,33.6015,
,639608,1.51,1.57,1.1932,1.4915,
,671609,2.61,2.7,2.052,2.565,
,187750,2.67,2.81,2.1356,2.6695,
,187747,4.11,4.41,3.3516,4.1895,
,541862,1.38,1.45,,1.3775,
,479387,1.44,1.52,1.1552,1.444,
,660728,1.44,1.52,1.1552,1.444,
,479530,1.63,1.67,1.2692,1.5865,
,660727,1.63,1.67,1.2692,1.5865,
,323470,2.6,2.74,2.0824,2.603,
,323473,1.23,1.46,1.1096,1.387,
,624775,3.52,3.7,,3.515,
,624774,3.48,3.66,,3.477,
,298698,6.52,6.86,5.2136,6.517,
,636827,2.61,2.44,1.8544,2.318,
,413689,45.8,70,53.2,66.5,
,414074,106.4,200,152,190,
,671637,2.97,3.16,2.4016,3.002,
,671639,6.17,6.49,4.9324,6.1655,
,269069,1.82,1.97,1.4972,1.8715,
,666130,1.82,1.97,1.4972,1.8715,
,489540,1.54,1.62,1.2312,1.539,
,489541,0.93,0.98,0.7448,0.931,
,666653,11.64,12.25,9.31,11.6375,
,627667,6.18,6.5,4.94,6.175,
,627060,6.65,7,5.32,6.65,
,627062,5.72,6,5.7,5.7,
,627061,3.81,4,3.8,3.8,
,612011,17.79,18.63,14.1588,17.6985,
,633072,18.42,18.38,13.9688,17.461,
,476947,0.46,0.5,0.38,0.475,
,239907,1.31,1.61,,1.5295,
,647515,1.31,1.61,,1.5295,
,695822,6.7,7.1,5.396,6.745,
,624773,5.45,5.74,4.3624,5.453,
,662889,3.91,4.12,3.1312,3.914,
,663988,0.9,0.95,,0.9025,
,650737,0.82,0.86,0.6536,0.817,
,663983,0.82,0.86,0.6536,0.817,
,663984,1.88,1.94,1.4744,1.843,
,663985,1.53,1.68,1.2768,1.596,
,663986,1.15,1.26,0.9576,1.197,
,663987,0.7,0.77,0.5852,0.7315,
,663996,15.93,17.51,,16.6345,
,663998,2.43,2.63,1.9988,2.4985,
,663992,2.02,1.96,,1.862,
,639628,6.01,6.31,4.7956,5.9945,
,671212,1.53,1.68,1.2768,1.596,
,268012,2.91,3.06,2.3256,2.907,
,268013,4.36,4.59,3.4884,4.3605,
,268014,5.7,6,4.56,5.7,
,268015,9.2,9.7,7.372,9.215,
,475652,0.76,0.8,0.608,0.76,
,475862,0.99,0.7,0.532,0.665,
,475982,0.76,0.8,0.722,0.76,
,475871,0.95,1,0.76,0.95,
,475875,19.16,20,19,19,
,196681,13.52,14.4,11.2973,13.68,
,281498,1.02,1.04,0.7904,0.988,
,298801,1.96,2.46,1.9865,2.337,
,281499,1.07,1.35,1.026,1.2825,
,281500,1.31,1.66,1.2616,1.577,
,354883,0.94,1,0.8075,0.95,
,475987,1.84,2.09,1.5884,1.9855,
,475988,3.59,4.14,3.1464,3.933,
,698116,1.01,1.05,0.798,0.9975,
,679090,1.37,1.5,1.14,1.425,
,636858,2.87,3,2.28,2.85,
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.85,2.166,2.7075,
,628074,1.42,1.52,1.1552,1.444,
,554523,7.4,7.97,6.0572,7.5715,
,298682,1.3,1.37,1.0412,1.3015,
,320343,2.91,3.06,2.3256,2.907,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,681573,6.5,7.45,5.662,7.0775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,5.6525,5.6525,
,630763,5.83,5.95,5.6525,5.6525,
,625767,3.4,3.6,3.1065,3.42,
,240939,5.04,5.31,4.0356,5.0445,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,626499,0.82,0.86,0.6536,0.817,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,0.99,0.7524,0.9405,
,626630,1,1.28,1.1552,1.216,
,627330,0.83,0.86,0.6536,0.817,
,686669,0.89,0.91,0.7781,0.8645,
,624479,0.89,0.91,0.7781,0.8645,
,626998,1.25,1.3,0.988,1.235,
,627160,1.8,1.95,1.482,1.8525,
,476664,0.26,0.27,0.2565,0.2565,
,671538,2.27,2.43,1.8468,2.3085,
,541078,3.56,3.73,2.8348,3.5435,
,224938,2.57,2.7,2.052,2.565,
,664051,2.37,3.18,2.4168,3.021,
,67933,53.93,57.17,,54.3115,
,678014,1.73,1.8,1.539,1.71,
,642941,1.75,1.84,1.3984,1.748,
,476956,4.32,4.55,3.458,4.3225,
,476963,6.5,6.25,4.75,5.9375,
,476955,1.76,1.85,1.406,1.7575,
